plantbarcode,experiment,datetime,jobdate,cameralabel,frameid,frame,parameter,roi,frame_avg,yii_avg,npq_avg,yii_std,npq_std,obj_in_frame,unique_roi,gtype,idate,n_roi,n_uniqueroi
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,32,Fmp,t280_ALon,0,39.4612,0.4003,1.7193,0.0543,0.2805,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,32,Fmp,t280_ALon,1,34.2629,0.2392,1.6174,0.0535,0.3795,TRUE,TRUE,AP16,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,33,Fp,t300_ALon,0,26.4042,0.3254,1.7266,0.0596,0.2904,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,33,Fp,t300_ALon,1,30.3933,0.1375,1.5402,0.0562,0.3727,TRUE,TRUE,AP16,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,34,Fmp,t300_ALon,0,39.3789,0.3254,1.7266,0.0596,0.2904,TRUE,TRUE,Col-0,8,2,2
A1,amiRNA_psII,2020-03-05T20:01:51Z,2020-03-06,PSII0,34,Fmp,t300_ALon,1,35.3191,0.1375,1.5402,0.0562,0.3727,TRUE,TRUE,AP16,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,1,Fo,FvFm,0,57.1702,0.5277,0,0.1206,0,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,1,Fo,FvFm,1,13.7184,0.8272,0,0.0232,0,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,2,Fm,FvFm,0,122.4823,0.5277,0,0.1206,0,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,2,Fm,FvFm,1,79.4479,0.8272,0,0.0232,0,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,7,Fp,t40_ALon,0,59.7447,0.4917,0.0317,0.1186,0.0287,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,7,Fp,t40_ALon,1,16.1278,0.7917,0.0299,0.0146,0.0278,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,8,Fmp,t40_ALon,0,119.078,0.4917,0.0317,0.1186,0.0287,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,8,Fmp,t40_ALon,1,77.4394,0.7917,0.0299,0.0146,0.0278,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,9,Fp,t60_ALon,0,55.3617,0.0681,1.0875,0.0353,0.3221,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,9,Fp,t60_ALon,1,47.9575,0.1684,0.3846,0.0378,0.1207,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,10,Fmp,t60_ALon,0,59.3262,0.0681,1.0875,0.0353,0.3221,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,10,Fmp,t60_ALon,1,57.605,0.1684,0.3846,0.0378,0.1207,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,11,Fp,t80_ALon,0,41.0709,0.0982,1.7025,0.0445,0.3009,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,11,Fp,t80_ALon,1,36.7512,0.2069,0.7229,0.039,0.1557,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,12,Fmp,t80_ALon,0,45.6383,0.0982,1.7025,0.0445,0.3009,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,12,Fmp,t80_ALon,1,46.3467,0.2069,0.7229,0.039,0.1557,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,13,Fp,t100_ALon,0,37.6879,0.1094,1.9116,0.049,0.2939,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,13,Fp,t100_ALon,1,31.492,0.2478,0.9054,0.0421,0.1718,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,14,Fmp,t100_ALon,0,42.383,0.1094,1.9116,0.049,0.2939,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,14,Fmp,t100_ALon,1,41.8414,0.2478,0.9054,0.0421,0.1718,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,15,Fp,t120_ALon,0,36.4113,0.116,1.9957,0.0538,0.3388,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,15,Fp,t120_ALon,1,28.9596,0.2824,0.9726,0.0462,0.1673,TRUE,TRUE,AP101,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,16,Fmp,t120_ALon,0,41.3333,0.116,1.9957,0.0538,0.3388,TRUE,TRUE,AP42,8,2,2
A2,amiRNA_psII,2020-03-05T20:08:50Z,2020-03-06,PSII0,16,Fmp,t120_ALon,1,40.3646,0.2824,0.9726,0.0462,0.1673,TRUE,TRUE,AP101,8,2,2
